hook,class,K,null_mean,null_std,null_p95,null_p99,top_k_delta,exceeds_p95,exceeds_p99
stage2,NORM,5,0.00011983469337123909,0.0005654407416994786,0.0005484295449862506,0.0022544763538367833,0.013253959245105196,True,True
stage2,MI,5,8.353927625772694e-05,0.0005144822616339691,0.000821767431597529,0.002136429832303582,0.023591129744042316,True,True
stage2,STTC,5,3.900576502441355e-05,0.00011430919677586147,0.00024103914654274836,0.0004363655508589312,0.02544416555932838,True,True
stage2,CD,5,-4.5380671695602895e-05,0.00018113348783683507,0.00016346992153436484,0.00025141200106133603,0.01442444372844065,True,True
stage2,HYP,5,0.0002545975017349966,0.0012708934395025933,0.0007077629171662765,0.0050943355308814605,0.02387073370765258,True,True
stage2,NORM,10,0.0001880594128502433,0.0008493340172612329,0.0010738624658937134,0.0039300515847489805,0.019677038270250136,True,True
stage2,MI,10,-8.410194174756968e-05,0.0002990230824921714,0.00028585613415713594,0.0007116835834068146,0.035258164165931194,True,True
stage2,STTC,10,0.00014401688418543167,0.000957921817902083,0.00021036559892942364,0.0036957847907273375,0.039631825865812376,True,True
stage2,CD,10,2.0919411697728484e-05,0.00033072888947259337,0.00043266223797425136,0.0010723745309122608,0.02193339903718583,True,True
stage2,HYP,10,7.20971862974995e-05,0.0003075554923335549,0.000529047851870573,0.0010097154753643828,0.039120165920131234,True,True
stage2,NORM,20,0.00011258676285717417,0.0007397074634322203,0.0009099432021220813,0.0027628068493782488,0.026808093802682786,True,True
stage2,MI,20,0.0001972197705207579,0.0008988589032625147,0.0013940313327449206,0.0037910745807590482,0.039108561341571146,True,True
stage2,STTC,20,0.00026854233121230474,0.001048861412475347,0.0012939544497815023,0.004329182103587096,0.06029870083791411,True,True
stage2,CD,20,0.0001470992380879399,0.000604403026431798,0.0012562900382850793,0.001644898316970412,0.03328982032523409,True,True
stage2,HYP,20,0.0007724276070911262,0.00261183530660598,0.003913002334237754,0.012509206832376675,0.05895921392972059,True,True
